ChosenID,Basin,WellName,County,LeaseName,LeaseNumber,Field,RES_CAT,Landing_Zone,PerfLateralLength,FirstProdDate,HoleDirection,SurfaceLatitude,SurfaceLongitude,cluster
4238937061,DB,CARPENTER STATE D U 16H,REEVES,CARPENTER STATE D,08-051261-O,PHANTOM,01PDP,WCA,7559.0,2018-10-01,H,31.152319397,-103.547836139,121
4238937157,DB,OMAHA 11-3 3H,REEVES,OMAHA 11-3,08-289063-G,PHANTOM,01PDP,WCA,7208.0,2018-10-01,H,31.321570607,-103.596394215,1997
4238937169,DB,TOYAH WEST 4-9 82NH,REEVES,TOYAH WEST 4-9,08-057650-O,WOLFBONE,01PDP,3RD BS,10308.0,2018-09-01,H,31.273560086,-103.433493106,1998
4238937192,DB,TUMBLER STATE A 1853H,REEVES,TUMBLER STATE A,08-052982-O,WOLFBONE,01PDP,3RD BS,8201.0,2019-08-01,H,31.375333308,-103.395845625,1999
4238937204,DB,THE SPHINX 770H,REEVES,THE SPHINX,08-049497-O,WOLFBONE,01PDP,WCB,10499.0,2019-03-01,H,31.395326521,-103.396057903,2000
4238937244,DB,WAR EAGLE A UNIT L 49H,REEVES,WAR EAGLE A UNIT,08-051065-O,PHANTOM,01PDP,WCA,8148.0,2018-09-01,H,31.080465998,-103.520278019,2001
4238937264,DB,NOAHS MILL 19-20W UNIT 1H,REEVES,NOAHS MILL 19-20W UNIT,08-052149-O,PHANTOM,01PDP,WCA,10808.0,2018-11-01,H,31.33433006,-103.651212194,2002
4238937296,DB,WHIRLAWAY 24 2H,REEVES,WHIRLAWAY 24,,PHANTOM,OLD DUC,WCA,6503.0,2200-01-01,H,31.362310366,-103.625082823,2003
4238935623,DB,REEVES STATE T7-50-30 4H,REEVES,REEVES STATE T7-50-30,08-049178-O,WOLFBONE,01PDP,WCA,10426.0,2018-07-01,H,31.243787891,-103.360019288,1067
4238935673,DB,WAHA 4313NH,REEVES,WAHA,08-047318-O,PHANTOM,01PDP,WCA,10951.0,2017-08-01,H,31.289422493,-103.223132726,2004
4238935792,DB,KING FISHER 23 UNIT B 5H,REEVES,KING FISHER 23 UNIT B,08-050616-O,WOLFBONE,01PDP,WCA,6822.0,2018-01-01,H,31.329181854,-103.412347043,2005
4238937493,DB,SAM PREWITT 255-256 UNIT C 7HL,REEVES,SAM PREWITT 255-256 UNIT C,08-053772-O,PHANTOM,01PDP,WCB,9516.0,2019-08-01,H,31.25319942,-103.521085118,2006
4238937513,DB,SOUTH SMARTY JONES STATE 29-32 1HA,REEVES,SOUTH SMARTY JONES STATE 29-32,08-052871-O,PHANTOM,01PDP,WCA,11052.0,2019-03-01,H,31.129022239,-103.249830574,809
4238937539,DB,COLLIE A EAST S 82H,REEVES,COLLIE A EAST,08-290384-G,SANDBAR,01PDP,3RD BS,10136.0,2019-02-01,H,31.424345823,-103.451825138,2007
4238937556,DB,PEPPADEW STATE 243-244 UNIT B-1 2H,REEVES,PEPPADEW STATE 243-244 UNIT B-1,08-052202-O,HOEFS T-K,01PDP,WCA,10878.0,2019-04-01,H,31.09116141,-103.548707809,2008
4238937586,DB,TINMAN 8180 1U B 1H,REEVES,TINMAN 8180 1U,08--O,PHANTOM,02PDNP,WCB,10088.0,2019-04-01,H,31.37507922,-103.608452781,595
