ChosenID,heel_lat,heel_lon,toe_lat,toe_lon,cluster
4232944650,31.877841784,-102.085283737,31.850166014,-102.076768584,21
4246141622,31.592007165,-102.150192782,31.604501864,-102.154014039,22
4246141682,31.43000774,-101.816570374,31.455003207,-101.823504961,23
4222740878,32.296448326,-101.43483815,32.269976065,-101.427663574,24
4222740879,32.296359214,-101.436730415,32.269643437,-101.42934664,24
4222740968,32.468197161,-101.688290159,32.509361844,-101.699637722,25
4222740881,32.297144635,-101.431713031,32.270721795,-101.424430313,24
4222740969,32.46837629,-101.686503293,32.509709416,-101.697803642,25
4246141687,31.364484126,-101.814872099,31.339477564,-101.807611584,26
4246141623,31.593422171,-102.144642616,31.619340481,-102.152895044,0
4222740880,32.29768773,-101.433444798,32.270426329,-101.42589443,24
4238340935,31.37421519,-101.772026393,31.34856339,-101.764649098,27
4238340932,31.373882201,-101.776051721,31.347748985,-101.768420809,27
